Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
52980205,1399897.75,17133.1,2.6746,1.298,6,2,4,0,1.333
52762698,920868.0,5561.65,1.7558,0.8891,27,2,17,8,0.593
52261132,966414.75,3086.92,1.8551,1.6188,34,1,13,20,0.176
52170594,149139.98,849.22,0.2875,0.1786,59,8,25,26,1.102
52062772,1615190.0,6306.8,3.1145,1.8825,34,5,15,14,0.853
51823495,1786297.25,12480.29,3.471,2.9182,10,6,1,3,0.0
50846051,863448.18,4092.41,1.7062,1.9295,1217,320,194,703,0.023
50651842,187183.89,2296.07,0.3741,0.0655,66,3,59,4,1.621
50542177,4739484.5,32030.8,9.4407,6.1149,5,1,0,4,0.0
50389066,707602.75,6837.59,1.4178,1.0987,28,11,11,6,0.214
49753046,1414736.5,10241.78,2.8641,0.8695,15,2,0,12,0.133
49721095,898828.33,3057.47,1.8139,1.6787,51,6,33,12,1.588
49106907,354127.39,1544.5,0.7243,1.0083,32,1,1,30,0.313
49030990,2414815.0,13184.89,4.952,3.3245,10,1,4,5,0.3
48873294,4278895.0,14338.72,8.7844,3.2486,15,2,3,10,0.2
48757827,116555.04,482.49,0.24,0.1964,95,17,21,57,3.758
48520702,131578.75,652.75,0.2725,0.2251,120,13,71,36,3.825
48422538,377882.0,1242.6,0.783,0.5911,133,11,78,44,1.759
48100914,1609562.92,2931.68,3.3523,3.47,10,0,1,9,0.2
47821374,764641.0,3405.63,1.6061,1.0818,6,0,4,2,0.333
47720068,1791513.81,7572.24,3.7701,2.4941,13,2,1,10,0.385
47647921,2116102.0,13236.62,4.4689,3.0611,15,0,0,15,7.4
46891641,730786.58,5602.5,1.5704,0.3681,26,0,26,0,2.769
46618064,157499.21,342.39,0.3386,0.034,425,0,425,0,4.972
46343441,636092.65,1561.74,1.3759,0.4895,7,3,0,4,0.143
46328487,15538683.0,0.31,33.5402,28.622,1,0,0,1,0.0
46292534,4896516.5,61609.19,10.7104,7.0945,1,0,0,1,0.0
46197756,4713926.5,69133.05,10.3534,8.4353,8,5,2,1,0.125
