Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
10061,530.56,10.07,5.3735,7.534,4.0,0.0,0.0,4.0,0.0
6744,119.92,14.29,1.99,0.0,0.0,0.0,0.0,0.0,0.0
8338,223.39,18.14,2.8967,0.0,0.0,0.0,0.0,0.0,0.0
7085,207.93,14.38,3.1377,1.1252,18.0,7.0,1.0,10.0,1.889
8666,48.3,10.8,0.682,0.1106,17.0,4.0,13.0,0.0,20.706
2371,30.23,0.64,1.3019,0.2741,4.0,3.0,1.0,0.0,30.0
9638,105.41,2.62,1.1209,1.4422,1.0,1.0,0.0,0.0,0.0
5522,327.98,15.15,6.2138,7.6331,2.0,0.0,2.0,0.0,2.5
6649,117.37,8.72,1.8964,1.721,7.0,0.0,2.0,5.0,1.714
4851,115.65,6.56,2.5193,7.215,1.0,0.0,1.0,0.0,6.0
11247,199.49,7.59,1.8412,2.3816,7.0,4.0,0.0,3.0,3.429
4219,93.9,3.06,2.2983,3.1524,7.0,0.0,1.0,6.0,3.429
9972,133.55,11.9,1.4585,1.1833,7.0,1.0,6.0,0.0,4.857
3948,268.74,5.61,6.9491,5.5218,1.0,0.0,0.0,1.0,0.0
4960,19.72,0.7,0.4117,0.1815,1.0,0.0,0.0,1.0,0.0
5653,117.59,9.69,2.2515,5.3777,1.0,1.0,0.0,0.0,0.0
5774,71.21,5.02,1.3201,0.7144,4.0,0.0,0.0,4.0,9.5
8555,113.73,12.64,1.4771,0.08,19.0,17.0,1.0,1.0,1.211
4939,52.13,1.38,1.0833,0.5714,9.0,0.0,5.0,4.0,6.444
2192,34.52,0.25,1.5866,0.7755,1.0,1.0,0.0,0.0,0.0
7676,135.2,5.52,1.8332,2.5664,2.0,1.0,0.0,1.0,0.0
7832,30.0,11.09,0.5246,0.2681,1.0,0.0,0.0,1.0,10.0
25393,2914.94,16.42,11.5439,3.5167,1.0,1.0,0.0,0.0,0.0
4369,11231.85,132.62,260.116,544.9811,9.0,0.0,9.0,0.0,6.0
9415,407.29,24.63,4.5877,0.4036,1.0,0.0,1.0,0.0,1.0
22915,27.51,3.24,0.1342,0.0289,8.0,5.0,3.0,0.0,23.0
4257,15.79,0.01,0.3712,0.0861,3.0,3.0,0.0,0.0,29.0
8014,23.15,1.16,0.3034,0.0,0.0,0.0,0.0,0.0,0.0
8533,457.05,31.89,5.7299,0.0,0.0,0.0,0.0,0.0,0.0
1803,64.15,7.78,3.9893,0.4881,30.0,0.0,28.0,2.0,11.067
9403,366.08,3.39,3.9293,0.0,0.0,0.0,0.0,0.0,0.0
17395,40.2,1.9,0.242,0.2594,70.0,21.0,28.0,21.0,5.5
15324,42.37,3.78,0.3012,0.2494,23.0,10.0,12.0,1.0,8.0
20792,144.57,10.33,0.745,0.0617,6.0,0.0,0.0,6.0,13.333
14652,373.63,8.85,2.6104,0.4709,1.0,0.0,0.0,1.0,0.0
8201,95.0,12.45,1.3102,0.1097,1.0,0.0,0.0,1.0,0.0
1908,23.12,0.25,1.2247,0.0,0.0,0.0,0.0,0.0,0.0
2104,149.48,4.37,7.3123,10.5989,2.0,1.0,0.0,1.0,0.0
2199,164.24,8.17,7.8401,0.5116,4.0,0.0,1.0,3.0,2.0
1928,7.53,0.07,0.3943,0.0,0.0,0.0,0.0,0.0,0.0
1851,5.89,0.11,0.3241,0.0,0.0,0.0,0.0,0.0,0.0
1948,9.3,0.4,0.4979,0.0,0.0,0.0,0.0,0.0,0.0
2021,160.11,8.01,8.3182,0.3958,1.0,0.0,1.0,0.0,3.0
2104,199.0,16.0,10.2186,0.0,0.0,0.0,0.0,0.0,0.0
1664,8.4,0.3,0.5228,0.0,0.0,0.0,0.0,0.0,0.0
29458,2302.87,70.11,8.0555,4.5531,4.0,0.0,4.0,0.0,0.75
